央视频道,#genre#
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-17农业农村,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV4K,https://php.61073736.repl.co/bestv.php?id=cctv4k/15000000
欢笑剧场,https://php.61073736.repl.co/bestv.php?id=hxjc4k/15000000


CCTV-1综合,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV-2财经,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV-3综艺,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV-4中文国际,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV-5体育,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV-5+体育赛事,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV-6电影,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV-7国防军事,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV-8电视剧,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV-9纪录,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV-10科教,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV-11戏曲,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV-12社会与法,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV-13新闻,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV-14少儿,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV-15音乐,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV-16奥林匹克,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV-17农业农村,https://cntv.sbs/tv?auth=2310201855&id=cctv17


卫视频道,#genre#
北京卫视,https://cntv.sbs/tv?auth=2310201855&id=bjws
东方卫视,https://cntv.sbs/tv?auth=2310201855&id=dfws
天津卫视,https://cntv.sbs/tv?auth=2310201855&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=2310201855&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=2310201855&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=2310201855&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=2310201855&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=2310201855&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=2310201855&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=2310201855&id=gsws
青海卫视,https://cntv.sbs/tv?auth=2310201855&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxws
河北卫视,https://cntv.sbs/tv?auth=2310201855&id=hbws
山西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=2310201855&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=2310201855&id=ahws
河南卫视,https://cntv.sbs/tv?auth=2310201855&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=2310201855&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=2310201855&id=hunws
江西卫视,https://cntv.sbs/tv?auth=2310201855&id=jxws
江苏卫视,https://cntv.sbs/tv?auth=2310201855&id=jsws
浙江卫视,https://cntv.sbs/tv?auth=2310201855&id=zjws
东南卫视,https://cntv.sbs/tv?auth=2310201855&id=dnws
海峡卫视,https://cntv.sbs/tv?auth=2310201855&id=hxws
厦门卫视,https://cntv.sbs/tv?auth=2310201855&id=xmws
广东卫视,https://cntv.sbs/tv?auth=2310201855&id=gdws
深圳卫视,https://cntv.sbs/tv?auth=2310201855&id=szws
广西卫视,https://cntv.sbs/tv?auth=2310201855&id=gxws
云南卫视,https://cntv.sbs/tv?auth=2310201855&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=2310201855&id=gzws
四川卫视,https://cntv.sbs/tv?auth=2310201855&id=scws
康巴卫视,https://cntv.sbs/tv?auth=2310201855&id=kbws
海南卫视,https://cntv.sbs/tv?auth=2310201855&id=hinws
三沙卫视,https://cntv.sbs/tv?auth=2310201855&id=ssws
新疆卫视,https://cntv.sbs/tv?auth=2310201855&id=xjws
兵团卫视,https://cntv.sbs/tv?auth=2310201855&id=btws
西藏卫视,https://cntv.sbs/tv?auth=2310201855&id=xzws
西藏藏语卫视,https://cntv.sbs/tv?auth=2310201855&id=xzzyws
CETV1,https://cntv.sbs/tv?auth=2310201855&id=cetv1
CETV2,https://cntv.sbs/tv?auth=2310201855&id=cetv2
CETV4,https://cntv.sbs/tv?auth=2310201855&id=cetv4
北京纪实科教,https://cntv.sbs/tv?auth=2310201855&id=bjjskj
纪实人文,https://cntv.sbs/tv?auth=2310201855&id=shjsrw
动漫秀场,https://cntv.sbs/tv?auth=2310201855&id=dmxc
哈哈炫动,https://cntv.sbs/tv?auth=2310201855&id=hhxd
欢笑剧场,https://cntv.sbs/tv?auth=2310201855&id=hxjc
欢笑剧场 4K,https://cntv.sbs/tv?auth=2310201855&id=hxjc4k
都市剧场,https://cntv.sbs/tv?auth=2310201855&id=dsjc
五星体育,https://cntv.sbs/tv?auth=2310201855&id=wxty
劲爆体育,https://cntv.sbs/tv?auth=2310201855&id=jbty
新视觉,https://cntv.sbs/tv?auth=2310201855&id=xsj
游戏风云,https://cntv.sbs/tv?auth=2310201855&id=yxfy
生活时尚,https://cntv.sbs/tv?auth=2310201855&id=shss
金色学堂,https://cntv.sbs/tv?auth=2310201855&id=jspd
乐游,https://cntv.sbs/tv?auth=2310201855&id=qjs
魅力足球,https://cntv.sbs/tv?auth=2310201855&id=mlzq
茶频道,https://cntv.sbs/tv?auth=2310201855&id=cpd
快乐垂钓,https://cntv.sbs/tv?auth=2310201855&id=klcd
金鹰纪实,https://cntv.sbs/tv?auth=2310201855&id=jyjs
金鹰卡通,https://cntv.sbs/tv?auth=2310201855&id=jykt
嘉佳卡通,https://cntv.sbs/tv?auth=2310201855&id=jjkt
财富天下,https://cntv.sbs/tv?auth=2310201855&id=cftx
中国天气,https://cntv.sbs/tv?auth=2310201855&id=zgtq
梨园,https://pi.0472.org/tv/ly.php?auth=2310201855
上海新闻综合,https://cntv.sbs/tv?auth=2310201855&id=shxwzh
上海都市,https://cntv.sbs/tv?auth=2310201855&id=shds
上海ICS外语,https://cntv.sbs/tv?auth=2310201855&id=shics
东方影视,https://cntv.sbs/tv?auth=2310201855&id=dfys
七彩戏剧,https://cntv.sbs/tv?auth=2310201855&id=qcxj
第一财经,https://cntv.sbs/tv?auth=2310201855&id=dycj
法治天地,https://cntv.sbs/tv?auth=2310201855&id=fztd
东方财经,https://cntv.sbs/tv?auth=2310201855&id=dfcj
上海教育,https://cntv.sbs/tv?auth=2310201855&id=shjy
东方购物,https://cntv.sbs/tv?auth=2310201855&id=dfgw
浦东电视台,https://cntv.sbs/tv?auth=2310201855&id=pdtv
福建综合,https://cntv.sbs/tv?auth=2310201855&id=fjzh
福建新闻,https://cntv.sbs/tv?auth=2310201855&id=fjxw
福建电视剧,https://cntv.sbs/tv?auth=2310201855&id=fjdsj
福建文体,https://cntv.sbs/tv?auth=2310201855&id=fjwt
福建少儿,https://cntv.sbs/tv?auth=2310201855&id=fjse
福建旅游,https://cntv.sbs/tv?auth=2310201855&id=fjly
福建经济,https://cntv.sbs/tv?auth=2310201855&id=fjjj
福建公共,https://cntv.sbs/tv?auth=2310201855&id=fjgg
福建教育,https://cntv.sbs/tv?auth=2310201855&id=fjjy
北京新闻,https://cntv.sbs/tv/gh.php?id=bjxw
北京文艺,https://cntv.sbs/tv/gh.php?id=bjwy
北京影视,https://cntv.sbs/tv/gh.php?id=bjys
北京体育休闲,https://cntv.sbs/tv/gh.php?id=bjtyxx
北京财经,https://cntv.sbs/tv/gh.php?id=bjcj2
北京生活,https://cntv.sbs/tv/gh.php?id=bjsh2
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙古新闻综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿频道,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧频道,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800


北京卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240129_1/playlist.m3u8?CONTENTID=00000110240129_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
东方卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240242_1/playlist.m3u8?CONTENTID=00000110240242_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
湖南卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240130_1/playlist.m3u8?CONTENTID=00000110240130_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
深圳卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240132_1/playlist.m3u8?CONTENTID=00000110240132_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
江苏卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240133_1/playlist.m3u8?CONTENTID=00000110240133_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
浙江卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240134_1/playlist.m3u8?CONTENTID=00000110240134_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
湖北卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240135_1/playlist.m3u8?CONTENTID=00000110240135_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
天津卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240136_1/playlist.m3u8?CONTENTID=00000110240136_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
广东卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240137_1/playlist.m3u8?CONTENTID=00000110240137_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
山东卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240254_1/playlist.m3u8?CONTENTID=00000110240254_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
辽宁卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240255_1/playlist.m3u8?CONTENTID=00000110240255_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
安徽卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240256_1/playlist.m3u8?CONTENTID=00000110240256_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
河北卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240317_1/playlist.m3u8?CONTENTID=00000110240317_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
贵州卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240318_1/playlist.m3u8?CONTENTID=00000110240318_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
黑龙江卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240131_1/playlist.m3u8?CONTENTID=00000110240131_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
东南卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240588_1/playlist.m3u8?CONTENTID=00000110240588_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
金鹰纪实,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240303_1/playlist.m3u8?CONTENTID=00000110240303_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CETV1,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240302_1/playlist.m3u8?CONTENTID=00000110240302_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CETV1,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240243_1/playlist.m3u8?CONTENTID=00000110240243_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CETV2,http://106.39.160.155/live.aishang.ctlcdn.com/00000110245251_1/playlist.m3u8?CONTENTID=00000110245251_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CETV4,http://106.39.160.155/live.aishang.ctlcdn.com/00000110245252_1/playlist.m3u8?CONTENTID=00000110245252_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
深圳卫视,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240004_1/playlist.m3u8?CONTENTID=00000110240004_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
